ID TIME BLK %CPU CHAINDATASIZE
226 132.806 7 169379 24.13
226 135.899 7 169483 24.27
226 179.695 8 170827 24.1
226 224.728 8 170827 23.76
226 269.783 8 170827 23.45
226 314.821 8 170827 23.15
226 359.851 8 170827 22.86
226 404.87 8 170827 22.59
226 449.896 8 170827 22.33
226 494.945 10 172913 22.59
226 540.017 10 172913 22.34
226 585.019 10 172913 22.26
226 633.352 18 186602 23.22
226 677.899 21 197127 24.28
226 743.486 25 208417 25.21
226 765.736 25 208417 25.84
226 810.346 25 208417 26.51
226 857.93 28 213530 27.05
