S1 S2 S3
0 0 0
529 420 728
553 434 755
971 718 751
972 964 745
971 428 748
559 433 737
558 431 731
548 423 711
516 407 706
469 366 653
435 340 625
426 334 613
431 337 609
468 366 645
546 425 741
557 440 756
489 376 685
513 393 691
518 405 696
428 337 615
545 425 731
519 406 707
449 351 631
441 343 615
446 345 626
448 347 633
440 346 626
443 348 633
441 343 629
435 343 622
434 339 619
434 339 619
431 335 619
542 425 728
567 438 756
449 352 637
452 352 627
552 423 743
470 367 657
456 358 647
449 358 654
440 358 641
952 367 641
957 657 635
957 355 632
832 343 620
440 341 618
440 343 620
440 343 617
958 365 632
964 945 961
967 959 969
955 791 961
968 960 972
962 949 968
971 965 974
967 956 969
965 950 967
964 943 967
942 852 963
582 449 774
971 964 894
965 929 649
969 417 705
515 359 640
505 387 665
483 369 646
466 355 621
465 351 620
484 366 647
967 416 571
967 675 967
958 343 959
460 356 663
471 373 678
523 411 739
555 441 751
552 431 745
571 434 750
559 434 744
559 431 741
481 856 657
839 849 961
962 931 966
964 943 967
963 915 965
960 840 962
961 874 963
968 964 972
592 962 972
451 381 958
488 378 665
530 410 717
518 419 718
521 417 721
545 419 731
533 413 710
568 440 754
556 434 742
438 339 620
460 356 641
541 412 718
544 418 718
563 435 743
557 431 748
563 437 759
457 358 635
449 351 640
443 346 627
449 354 630
443 347 627
443 353 628
439 347 626
435 347 623
519 409 715
559 422 751
562 437 751
442 346 628
561 427 737
543 421 725
430 335 612
475 369 660
529 403 703
534 409 712
556 966 974
533 966 974
523 963 972
473 936 967
472 935 967
556 962 974
540 827 967
563 426 750
556 431 741
539 425 718
551 434 736
559 437 756
521 401 704
534 406 972
480 375 967
460 358 962
444 343 950
430 341 821
437 341 729
449 351 651
454 359 641
576 445 740
562 433 773
527 414 710
553 433 735
566 437 757
561 427 759
445 349 633
563 439 761
526 411 715
562 445 758
566 446 757
559 433 739
571 433 745
566 438 743
546 420 722
537 420 706
495 381 668
539 411 713
563 431 743
556 423 727
544 419 725
553 433 768
529 411 742
530 411 728
474 379 955
448 354 967
512 419 974
482 378 971
443 349 653
516 399 724
569 441 765
576 435 782
567 428 853
552 430 957
571 428 960
576 437 969
573 428 971
565 431 973
495 386 969
479 371 966
467 365 966
443 343 635
441 343 628
458 353 640
553 430 740
558 436 744
521 384 713
495 383 663
563 435 972
971 966 974
971 963 971
968 959 967
960 853 963
958 822 963
964 950 967
955 817 946
479 349 628
495 377 667
571 428 744
556 428 766
539 427 753
555 424 757
542 932 678
972 966 735
965 937 956
961 856 961
962 890 963
953 783 959
957 805 961
957 808 961
953 783 960
965 951 967
967 955 970
954 845 965
970 963 972
958 488 635
963 378 655
970 964 723
964 902 667
971 964 725
972 967 745
971 966 749
580 437 750
554 431 740
559 441 753
549 438 740
512 395 687
543 423 728
559 431 751
556 440 759
566 438 761
567 438 756
568 433 759
558 437 759
475 372 665
579 966 966
963 966 974
971 966 974
972 967 974
972 966 974
972 967 974
971 966 974
971 966 974
972 966 974
972 966 974
972 966 974
972 966 974
972 966 974
566 443 967
566 436 755
574 450 766
573 446 764
571 439 759
577 440 760
749 429 733
972 966 973
972 966 973
972 966 971
972 966 905
971 965 733
971 966 741
512 654 730
523 432 974
519 730 974
489 379 970
483 369 679
566 423 737
559 411 691
551 407 684
966 963 970
971 961 969
969 960 971
972 967 974
970 965 973
970 965 974
967 961 971
483 378 683
467 364 661
471 364 661
576 441 751
497 382 674
492 388 678
961 943 967
951 783 960
955 777 961
847 718 957
559 597 921
489 619 930
440 632 940
940 751 958
966 953 967
971 966 974
969 963 973
970 965 974
971 966 974
790 419 723
529 406 707
572 435 766
521 393 687
536 414 711
573 433 741
566 436 750
566 438 751
568 441 764
565 427 755
576 441 763
558 444 762
567 448 761
571 434 758
559 427 747
574 440 762
565 433 764
569 433 753
567 431 748
563 436 760
564 436 751
577 439 748
565 435 743
579 438 741
574 446 743
577 436 741
569 439 751
477 367 657
479 361 652
570 437 753
554 429 743
527 399 695
539 411 714
581 440 758
569 436 751
545 413 723
550 413 724
562 431 750
562 436 753
448 350 643
561 436 756
563 438 760
556 425 724
497 384 672
478 367 657
557 443 762
566 436 768
472 359 648
500 387 692
559 436 758
568 438 755
563 435 759
565 434 755
565 430 756
972 427 737
967 957 957
969 962 971
972 967 974
971 965 973
967 959 969
962 939 967
956 866 964
443 577 961
435 338 637
437 339 622
436 338 621
476 359 649
540 414 718
553 430 716
964 403 679
540 952 795
545 425 973
529 401 972
519 403 972
477 379 969
542 423 974
517 440 973
489 663 969
967 755 971
969 407 691
971 417 704
962 367 651
963 359 646
801 334 619
536 352 649
512 393 709
554 431 751
571 426 745
557 437 737
449 349 636
571 424 751
573 431 757
966 964 974
969 966 974
964 965 974
960 961 971
961 962 971
942 955 968
473 369 654
442 344 625
472 367 651
568 437 763
561 418 743
564 431 749
549 425 742
949 966 974
490 953 972
495 387 971
553 431 974
473 371 873
514 399 707
545 430 758
550 423 785
671 956 970
969 966 974
969 965 973
968 964 972
968 960 967
968 959 967
968 961 968
968 963 970
967 963 972
972 966 974
972 966 974
969 962 970
968 960 968
970 962 967
952 365 650
471 364 655
449 347 630
459 353 642
458 352 650
481 375 687
512 407 894
815 956 969
960 907 966
957 836 962
943 763 960
863 778 960
500 800 962
483 832 692
453 350 637
544 415 713
525 391 690
435 335 616
461 356 640
434 331 613
485 363 650
566 421 741
569 431 746
571 436 755
565 436 758
539 418 729
549 423 741
459 357 651
431 335 626
445 350 637
483 381 673
558 439 763
521 414 716
467 363 655
256 383 687
544 422 725
566 431 737
525 410 704
557 416 733
564 425 729
540 404 713
552 419 729
555 424 739
559 431 755
550 411 725
495 363 652
459 341 623
613 342 622
964 355 626
966 360 625
966 570 628
971 961 677
971 964 970
971 964 969
971 965 970
971 964 969
971 964 967
971 957 961
967 439 634
516 354 632
515 356 632
503 348 631
495 359 650
570 441 765
966 412 671
966 962 971
877 615 964
967 952 965
970 965 973
969 963 972
969 961 968
966 952 690
462 592 631
458 345 632
534 401 697
564 437 756
566 433 756
570 434 751
567 437 763
569 433 752
577 438 761
559 427 755
565 418 708
571 427 721
568 423 734
535 413 732
562 431 761
559 427 764
441 342 640
537 411 719
532 407 716
563 425 742
556 419 730
441 345 635
969 419 736
966 957 876
958 876 965
960 899 964
958 848 962
955 801 918
955 784 633
948 480 627
964 375 687
566 436 763
544 419 733
556 428 741
550 424 736
533 405 716
568 437 759
971 428 756
971 965 773
971 965 779
971 965 753
969 431 721
971 435 759
565 438 770
588 439 766
578 441 762
446 342 629
549 412 722
521 396 691
502 390 965
583 442 970
715 965 972
961 835 959
960 876 961
971 966 974
963 936 963
961 869 958
960 853 647
959 358 640
474 359 647
523 399 687
579 438 759
559 419 713
519 381 680
501 379 683
535 399 716
570 439 755
548 439 764
445 339 635
564 412 726
526 399 691
470 361 646
574 441 780
482 369 662
478 369 667
541 398 698
553 436 751
448 350 635
468 359 648
972 425 743
971 963 709
970 961 969
969 961 969
972 966 972
971 961 968
971 963 970
969 960 969
972 967 974
971 965 974
972 966 974
541 619 971
972 433 747
971 966 974
954 814 964
972 967 974
969 964 974
971 966 974
969 965 974
970 967 974
972 963 974
972 964 974
972 967 973
972 966 973
972 966 974
970 962 971
969 957 724
962 809 644
971 966 751
971 966 750
971 965 721
971 965 737
564 423 750
567 428 760
568 439 760
574 437 758
570 433 759
564 431 755
557 430 762
971 966 967
967 961 967
965 951 963
964 924 962
963 888 961
971 964 964
698 619 633
521 397 702
438 339 627
568 427 741
512 387 673
567 434 760
559 429 740
557 954 973
545 964 974
534 965 974
501 960 971
516 962 972
519 962 972
879 804 964
955 344 632
959 356 646
958 370 662
676 435 751
539 391 695
557 420 765
448 349 644
444 351 645
440 343 640
561 438 748
526 396 699
567 439 759
971 963 964
969 962 971
972 967 974
963 917 734
972 967 974
966 957 969
970 965 973
964 957 969
970 964 973
967 962 972
969 961 972
971 965 974
968 966 973
972 965 974
967 960 970
972 967 974
970 965 973
972 966 974
965 757 679
719 377 673
964 366 657
966 367 655
964 726 643
963 851 641
963 879 661
960 813 743
524 347 635
444 335 627
441 340 634
467 356 660
470 363 664
453 354 651
449 344 636
472 361 655
458 348 642
485 366 663
467 358 649
505 382 675
545 409 705
564 435 756
566 440 762
576 438 761
570 437 759
571 435 759
571 439 770
571 439 768
572 434 762
571 442 765
568 434 777
504 391 696
540 408 713
532 401 702
556 405 723
539 396 695
493 367 666
502 366 663
576 435 730
516 389 677
573 438 739
579 447 778
583 433 733
585 456 771
580 443 751
569 448 760
563 429 738
541 411 854
541 417 971
455 729 960
543 770 960
934 757 959
938 749 958
950 756 957
953 736 958
956 804 959
959 847 961
969 960 967
961 889 952
947 732 634
950 512 648
536 413 717
489 366 677
531 406 728
518 406 743
478 384 727
561 428 758
566 430 750
566 437 762
572 440 765
523 393 693
504 396 722
517 407 745
505 405 743
515 417 757
550 423 764
572 440 771
559 438 764
576 427 763
574 431 740
567 430 744
543 409 724
512 378 677
465 352 647
451 343 640
446 345 636
467 363 658
457 352 648
451 353 640
564 435 751
572 439 763
455 355 635
541 420 719
557 411 718
571 422 737
561 422 736
568 433 755
561 431 957
513 396 972
454 359 967
536 401 972
484 370 677
455 343 640
568 430 771
873 398 693
971 964 967
972 966 973
972 966 973
972 966 974
971 966 974
971 965 974
970 965 973
519 954 972
538 451 972
546 406 746
569 424 716
576 436 743
581 427 727
569 430 757
572 436 748
570 433 748
569 415 714
521 386 696
512 387 711
548 417 743
444 344 641
533 418 741
477 369 687
452 353 663
487 380 671
573 439 763
501 379 674
491 378 670
576 437 769
561 431 762
537 420 754
462 364 943
515 940 969
965 955 967
953 778 959
935 751 954
948 697 956
906 719 954
955 795 958
966 948 966
967 956 687
966 427 731
489 379 681
567 439 774
551 428 750
555 439 773
583 448 780
558 440 768
925 357 655
972 966 749
972 966 974
966 951 966
943 775 960
918 741 959
866 699 957
755 642 950
425 341 815
431 340 627
436 337 626
448 343 631
582 440 768
559 424 730
572 438 766
558 423 733
569 425 743
545 396 687
539 385 671
501 374 664
483 373 677
475 373 687
486 375 858
484 376 968
493 384 969
485 431 969
478 911 970
463 920 968
449 393 964
450 349 653
455 349 647
465 348 642
473 353 644
463 352 640
465 359 649
441 343 633
442 340 630
448 342 629
447 343 631
444 343 636
443 342 631
443 340 634
445 339 660
471 358 960
478 367 969
459 367 967
470 607 967
489 945 968
492 953 968
601 955 969
961 955 969
965 959 970
964 955 968
964 956 967
963 953 967
492 640 968
471 366 664
472 367 667
463 358 654
465 361 660
459 356 651
457 356 654
451 347 649
459 358 651
570 438 762
462 356 647
572 443 765
499 387 694
466 361 661
448 349 642
463 355 647
560 362 650
966 549 659
970 957 966
966 957 967
963 945 966
957 869 964
956 847 964
855 684 955
865 675 955
668 673 958
435 478 962
440 352 840
469 373 686
478 377 685
462 361 651
456 353 644
466 353 643
588 343 629
942 523 628
929 737 887
917 743 959
937 753 959
943 754 726
950 640 634
956 359 655
564 436 774
489 374 678
453 350 641
539 431 755
555 424 739
500 378 681
498 381 676
559 450 756
971 965 759
970 966 755
971 965 751
970 966 969
971 965 973
971 965 974
972 966 974
971 966 974
971 965 974
971 964 973
970 964 973
969 963 971
971 965 973
967 963 969
967 953 967
968 960 970
964 966 974
559 964 973
519 959 971
525 957 969
481 364 660
492 373 671
563 427 730
570 433 745
565 423 721
537 405 695
579 436 764
456 347 640
579 439 762
579 437 758
577 443 768
578 435 762
577 437 766
576 435 768
573 442 763
577 443 771
571 437 766
558 425 745
555 421 720
567 439 768
579 442 768
577 435 741
576 430 753
483 359 651
579 488 749
956 849 735
972 967 974
959 911 965
971 966 974
957 863 964
960 904 965
956 846 963
955 851 951
485 892 677
500 397 692
539 418 740
539 407 728
555 425 736
475 360 652
565 421 726
487 367 652
501 369 652
460 346 627
504 379 665
569 431 736
492 377 673
495 377 673
493 389 691
541 414 732
527 406 724
569 431 750
971 433 739
968 428 743
546 369 662
523 406 723
