ID TIME BLK VOTE
209 180.064 49 None
209 293.855 55 9960
209 401.979 58 1351829
209 413.703 59 1579173
209 447.78 59 None
209 492.728 63 None
209 537.742 63 None
209 632.059 72 1762801
209 632.914 72 None
209 678.025 73 None
209 751.892 78 2818998
209 775.107 80 2649933
209 820.499 83 2503147
209 868.917 85 2368943
209 912.544 88 2250943
209 956.806 91 2486535
209 1003.174 94 2775684
209 1048.36 97 2702127
209 1091.992 100 2590210
209 1136.837 103 2484948
209 1199.442 105 2387908
209 1218.271 105 None
209 1279.409 108 2216702
209 1312.492 110 2139155
209 1356.241 113 2066850
209 1402.577 116 2000727
209 1564.033 118 None
