ID TIME BLK CHAINDATASIZE %CPU
226 51.926 3 173179 42.66
226 138.949 10 185728 42.75
226 153.601 11 187111 42.77
226 190.288 13 194101 42.96
226 238.165 16 203955 43.19
226 282.68 19 211273 43.43
226 322.314 21 214406 43.65
226 373.624 25 228249 43.82
226 468.764 29 235643 43.83
226 471.47 29 235747 43.86
226 515.682 30 239260 43.88
226 578.813 34 245561 44.03
226 744.745 37 255310 44.67
226 748.299 37 255310 44.7
226 791.653 38 256353 44.49
226 837.004 38 256353 44.25
226 880.73 41 263673 44.43
226 993.168 46 272997 44.7
226 1013.648 48 278177 44.82
226 1042.974 50 286682 44.84
226 1088.422 53 291438 45.08
