ID TIME BLK VOTE
222 175.263 9 None
222 289.556 15 None
222 377.819 18 None
222 409.62 22 None
222 674.363 27 None
222 795.597 39 None
222 851.878 41 None
222 950.431 45 None
222 979.302 46 None
222 994.478 47 None
222 1010.779 48 None
222 1064.839 50 None
222 1207.527 57 None
222 1260.624 58 None
222 1310.85 59 None
222 1329.399 60 None
222 1357.086 62 None
222 1400.552 65 None
222 1449.459 67 None
222 1492.239 70 None
222 1582.193 74 None
222 1641.891 77 None
222 1668.357 79 None
222 1683.877 80 None
