ID TIME BLK VOTE
222 51.85 3 None
222 111.75 8 3376865
222 156.048 11 3206806
222 219.914 15 2830739
222 240.19 16 None
222 297.632 20 2553050
222 327.312 22 None
222 374.019 25 2755402
222 421.403 28 2471665
